Classifier-1,Classifier-2,Classifier-3,Classifier-4,State,City,Car Brand,Car Brand Specific,Keyword,Keyword Intent,Position 1,Position 2,Position 3,Search Volume,Search Volume (Long Tail),CPC,Organic Search Share (OSS),Search Impression Shares (SIS),Search Click Distribution (SCD),SCD Adjusted SV,Clicks Per Search (CPS),SERP Features,Trend
Finance & Insurance Industry,Insurance Services,Home Insurance,Homeowners (Home & House) Insurance,-,-,-,-,homeowners insurance,Commercial,0.33,0.25,0.16,"90,500","271,500",$43.85,0.6,1.06,0.73,"126,052",0.86,"Sitelinks, People also ask","0.81,0.81,1.00,0.81,0.81,0.81,1.00,0.81,1.00,0.81,0.67,0.81"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,insurance companies,Commercial,0.3,0.23,0.16,"90,500","271,500",$28.87,0.67,1.26,0.53,"121,476",0.51,"People also ask, Sitelinks, Image pack","0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,1.00"
Finance & Insurance Industry,Insurance Services,Other Types of Insurance,Pet Insurance,-,-,-,-,pet insurance,Commercial,0.33,0.24,0.16,"90,500","271,500",$11.33,0.88,1.06,0.84,"212,734",1.14,"Sitelinks, People also ask","0.67,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Home Insurance,Homeowners (Home & House) Insurance,-,-,-,-,home insurance,Commercial,0.3,0.23,0.17,"74,000","222,000",$37.45,0.48,1.15,0.82,"100,486",0.85,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.45,0.55,0.55,0.55,0.45,0.67,0.67,0.67,0.67,0.67,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,cheap insurance,Commercial,0.28,0.21,0.16,"49,500","148,500",$29.04,0.47,1.12,0.62,"48,466",0.89,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.82,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.67,0.82"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,deductible,Informational,0.22,0.14,0.04,"49,500","148,500",$5.22,0.78,1.34,0.74,"114,857",0.32,"Knowledge card, People also ask, Sitelinks","0.82,0.82,0.82,0.82,0.67,0.67,0.82,0.82,1.00,1.00,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Other Types of Insurance,Gap Insurance,-,-,-,-,gap insurance,Informational,0.22,0.14,0.04,"49,500","148,500",$4.43,0.91,1.23,0.74,"123,000",0.59,"People also ask, Top stories, Thumbnails","0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,term life insurance,Informational,0.19,0.14,0.03,"40,500","121,500",$38.19,0.51,1.24,0.73,"56,091",0.88,"Adwords top, Sitelinks, People also ask, Knowledge card, Videos, Adwords bottom","0.82,1.00,1.00,0.82,0.82,0.82,0.82,0.82,1.00,1.00,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,auto insurance companies,Commercial,0.34,0.29,0.19,"33,100","99,300",$48.25,0.55,1.56,0.82,"69,864",0.85,"People also ask, Image pack","1.00,1.00,1.00,0.82,0.82,1.00,1.00,0.82,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,car insurance companies,Commercial,0.3,0.21,0.1,"33,100","99,300",$45.77,0.57,1,0.82,"46,413",0.87,"Adwords top, People also ask, Sitelinks, Adwords bottom","1.00,0.82,0.67,0.82,1.00,1.00,0.82,0.82,0.82,0.67,0.67,0.82"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,Florida,-,-,-,car insurance florida,Commercial,0.33,0.28,0.19,"33,100","99,300",$81.49,0.57,1.19,0.84,"56,578",1,"Featured snippet, People also ask, Sitelinks","1.00,1.00,0.67,0.82,1.00,1.00,0.82,0.67,1.00,0.82,0.67,0.82"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,car insurance near me,Commercial,0.33,0.27,0.22,"33,100","99,300",$39.13,0.7,1.22,0.83,"70,386",0.65,"Adwords top, Sitelinks, Adwords bottom","0.55,0.67,0.45,0.55,0.55,0.55,0.55,0.55,0.67,0.55,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Disability Insurance,-,-,-,-,disability insurance,Informational,0.19,0.12,0.01,"33,100","99,300",$31.83,0.57,1.21,0.74,"50,681",0.71,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Adwords bottom","0.82,1.00,1.00,1.00,0.82,0.82,0.82,0.82,1.00,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Long Term Insurance,-,-,-,-,long term care insurance,Informational,0.19,0.12,0.01,"33,100","99,300",$13.58,0.9,1.17,0.63,"65,875",1.17,"Adwords top, People also ask, Adwords bottom","0.82,1.00,1.00,0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,deductible definition,Informational,0.19,0.11,0.04,"27,100","81,300",$3.25,0.7,1.18,0.82,"55,066",0.31,"Knowledge card, People also ask, Sitelinks, Top stories, Thumbnails","0.82,1.00,1.00,1.00,0.67,0.55,0.67,0.82,1.00,1.00,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,insurance definition,Informational,0.21,0.14,0.09,"27,100","81,300",$13.77,0.76,1.18,0.83,"60,515",0.21,"Knowledge card, People also ask, Sitelinks","1.00,1.00,1.00,1.00,0.55,0.55,0.67,0.82,1.00,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,what is a deductible,Informational,0.19,0.11,0.04,"27,100","81,300",$1.87,0.91,1.1,0.84,"68,360",0.38,"People also ask, Sitelinks, Top stories, Thumbnails","0.67,0.67,0.67,0.67,0.55,0.67,0.67,0.67,0.82,1.00,1.00,0.82"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,whole life insurance,Commercial,0.3,0.25,0.15,"27,100","81,300",$27.34,0.58,1.35,0.82,"52,199",0.93,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnails, Adwords bottom","0.67,0.82,0.82,0.67,0.67,0.67,0.67,0.67,0.82,0.82,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Business Insurance,Business (Owners) Insurance,-,-,-,-,business insurance,Commercial,0.31,0.22,0.14,"27,100","81,300",$70.19,0.59,1.24,0.82,"48,773",0.89,"Featured snippet, Thumbnails, People also ask","0.55,0.55,0.67,0.55,0.45,0.67,0.67,0.55,0.55,0.55,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,cheap health insurance,Informational,0.19,0.14,0.03,"27,100","81,300",$7.36,0.77,1.18,0.83,"61,311",1.2,"Adwords top, Featured snippet, Thumbnails, People also ask, Sitelinks, Adwords bottom","0.67,0.82,0.82,0.67,0.67,0.67,0.82,0.67,0.82,0.82,1.00,0.82"
Finance & Insurance Industry,Insurance Services,Home Insurance,Flood Insurance,-,-,-,-,flood insurance,Commercial,0.29,0.21,0.14,"27,100","81,300",$7.66,0.71,1.21,0.84,"58,670",1.03,"Adwords top, Sitelinks, People also ask, Adwords bottom","1.00,0.82,0.82,1.00,0.67,1.00,0.67,0.82,0.55,0.36,0.45,0.45"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,health insurance companies,Commercial,0.29,0.2,0.15,"27,100","81,300",$7.33,0.88,1.25,0.84,"75,121",0.78,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Image pack, Adwords bottom","0.67,0.82,0.82,0.67,0.82,1.00,1.00,0.82,0.82,0.82,0.82,0.82"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,life insurance quotes,Informational,0.19,0.09,0.03,"27,100","81,300",$44.27,0.5,1.26,0.84,"43,024",1.19,"Adwords top, Sitelinks, Image pack, Adwords bottom","0.82,0.82,0.82,0.67,0.67,0.67,0.82,0.67,0.82,0.67,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Motorcycle Insurance,-,-,-,-,motorcycle insurance,Commercial,0.34,0.25,0.16,"27,100","81,300",$31.39,0.51,1.05,0.84,"36,570",1.19,"Sitelinks, People also ask","0.55,1.00,1.00,1.00,0.82,1.00,1.00,0.82,0.82,0.67,0.55,0.67"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,affordable health insurance,Commercial,0.31,0.21,0.16,"22,200","66,600",$8.93,0.93,1.13,0.72,"50,393",1.1,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Adwords bottom","0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.82,1.00,0.82,0.67"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,auto insurance quotes comparison,Commercial,0.3,0.21,0.13,"22,200","66,600",$43.56,0.65,1.04,0.82,"36,918",0.86,"Adwords top, Sitelinks, People also ask, Image pack, Adwords bottom","0.67,0.82,0.82,0.82,0.82,0.82,1.00,0.67,0.67,0.55,0.55,0.67"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,car insurance quotes online,Commercial,0.31,0.23,0.17,"22,200","66,600",$54.44,0.7,1.04,0.83,"40,242",1.11,"Adwords top, Sitelinks, People also ask, Adwords bottom","1.00,0.82,0.67,0.67,0.67,0.67,0.67,0.55,0.55,0.55,0.55,0.67"
Finance & Insurance Industry,Insurance Services,Other Types of Insurance,Pet Insurance,-,-,-,-,dog insurance,Commercial,0.29,0.2,0.09,"22,200","66,600",$7.62,0.79,1.26,0.82,"54,361",1.19,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,health insurance quotes,Commercial,0.31,0.24,0.19,"22,200","66,600",$8.59,0.69,1.1,0.74,"37,407",1.17,"Adwords top, Sitelinks, People also ask, Image pack, Adwords bottom","0.67,0.82,0.82,0.67,0.67,0.67,0.67,0.67,0.82,1.00,0.82,0.82"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,life insurance policy,Commercial,0.3,0.22,0.12,"22,200","66,600",$30.54,0.49,1.39,0.63,"28,578",0.74,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Videos, Adwords bottom","0.82,0.82,0.82,0.67,0.67,0.82,0.67,0.67,0.82,0.67,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Other Types of Insurance,Mortgage Insurance,-,-,-,-,mortgage insurance,Commercial,0.3,0.22,0.15,"22,200","66,600",$8.53,0.9,1.15,0.83,"57,213",0.64,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask","0.82,1.00,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Vision Insurance,-,-,-,-,vision insurance,Commercial,0.3,0.2,0.14,"22,200","66,600",$3.44,0.84,1.13,0.63,"39,827",1.09,"Featured snippet, Thumbnails, People also ask, Sitelinks","0.82,0.82,0.82,0.82,0.67,0.82,0.82,0.82,0.82,1.00,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,best car insurance,Commercial,0.27,0.22,0.11,"18,100","54,300",$42.76,0.49,1.04,0.63,"17,433",1.1,"Adwords top, Sitelinks, People also ask, Videos, Adwords bottom","0.67,1.00,0.67,0.67,0.82,0.82,0.82,0.67,0.82,1.00,0.67,0.82"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,comprehensive insurance,Commercial,0.32,0.26,0.18,"18,100","54,300",$9.81,0.69,1.14,0.62,"26,482",0.39,"Featured snippet, People also ask","0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,Florida,-,-,-,health insurance florida,Commercial,0.32,0.25,0.16,"18,100","54,300",$8.80,0.89,1.24,0.82,"49,139",1.21,"People also ask, Sitelinks, Image pack","0.67,0.67,0.82,0.67,0.67,0.67,0.82,0.67,0.82,1.00,0.82,0.67"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,New York,New York,-,-,health insurance new york,Commercial,0.28,0.17,0.1,"18,100","54,300",$5.12,0.78,1.15,0.63,"30,685",1.16,"Adwords top, Sitelinks, People also ask, Image pack, Adwords bottom","0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.82,1.00,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Home Insurance,Homeowners (Home & House) Insurance,-,-,-,-,home insurance quotes,Commercial,0.3,0.19,0.09,"18,100","54,300",$44.18,0.58,1.08,0.82,"27,891",1.15,"Adwords top, Sitelinks, Image pack, Adwords bottom","0.82,1.00,1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.67,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,insurance broker,Commercial,0.31,0.2,0.09,"18,100","54,300",$11.26,0.78,1.32,0.84,"46,962",0.53,"People also ask, Sitelinks, Image pack, Adwords bottom","0.82,0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,life insurance companies,Commercial,0.32,0.24,0.16,"18,100","54,300",$23.63,0.58,1.19,0.73,"27,359",0.88,"People also ask, Sitelinks, Image pack","0.82,1.00,1.00,1.00,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.82"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,sr22 insurance,Commercial,0.3,0.2,0.13,"18,100","54,300",$16.36,0.88,1.18,0.84,"47,364",0.74,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnails, Adwords bottom","1.00,0.82,1.00,1.00,0.82,1.00,1.00,1.00,1.00,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,affordable health care,Commercial,0.33,0.27,0.17,"14,800","44,400",$7.05,0.8,1.12,0.82,"32,622",1,"Sitelinks, People also ask","0.55,0.67,0.55,0.55,0.55,0.55,0.67,0.67,0.82,1.00,1.00,0.82"
Finance & Insurance Industry,Insurance Services,Other Types of Insurance,Pet Insurance,-,-,-,-,best pet insurance,Commercial,0.28,0.2,0.13,"14,800","44,400",$7.30,0.79,1.04,0.62,"22,617",1.32,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Top stories, Videos, Adwords bottom","0.55,0.67,0.55,0.67,0.67,0.67,0.67,0.67,0.82,0.67,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,cheap car insurance quotes,Commercial,0.29,0.22,0.11,"14,800","44,400",$40.57,0.56,1.34,0.84,"27,987",0.98,"Adwords top, Sitelinks, People also ask, Image pack, Adwords bottom","0.82,0.82,0.82,0.82,0.67,0.67,1.00,0.67,0.55,0.82,0.82,0.82"
Finance & Insurance Industry,Insurance Services,Home Insurance,Renters Insurance,-,-,-,-,cheap renters insurance,Commercial,0.29,0.21,0.14,"14,800","44,400",$18.50,0.83,1.09,0.84,"33,742",1.12,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Adwords bottom","0.67,0.67,0.67,0.82,0.82,1.00,1.00,0.67,0.67,0.55,0.67,0.82"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,cobra health insurance,Commercial,0.3,0.23,0.12,"14,800","44,400",$2.94,0.76,1.01,0.74,"25,220",0.95,"Adwords top, Sitelinks, Featured snippet, People also ask","0.45,0.67,0.67,0.82,0.82,1.00,0.82,0.67,0.67,0.67,0.67,0.67"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,compare car insurance,Commercial,0.34,0.25,0.16,"14,800","44,400",$41.46,0.57,1.15,0.84,"24,448",1.25,"Sitelinks, People also ask","1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.67,0.67,0.67,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,California,-,-,-,health insurance california,Commercial,0.3,0.2,0.14,"14,800","44,400",$9.48,0.78,1.23,0.84,"35,782",1.11,"Adwords top, Sitelinks, People also ask, Image pack, Videos, Adwords bottom","0.55,0.67,0.55,0.55,0.55,0.67,0.67,0.67,0.82,0.82,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,Texas,-,-,-,health insurance texas,Commercial,0.35,0.24,0.13,"14,800","44,400",$8.93,0.91,1.13,0.74,"33,786",1.23,"People also ask, Image pack","0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.82,1.00,0.82,0.82"
Finance & Insurance Industry,Insurance Services,Home Insurance,Homeowners (Home & House) Insurance,-,-,-,-,homeowners insurance quote,Commercial,0.31,0.2,0.13,"14,800","44,400",$48.29,0.71,1.11,0.82,"28,693",1.18,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.45,0.82,0.67,1.00,0.82,1.00,0.82,0.82,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,insurance deductible,Commercial,0.35,0.24,0.13,"14,800","44,400",$8.00,0.9,1.27,0.83,"42,122",0.44,"Featured snippet, People also ask","0.67,0.82,0.82,0.82,0.67,0.82,0.82,0.82,1.00,1.00,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,ppo insurance,Commercial,0.29,0.24,0.17,"14,800","44,400",$3.87,0.92,1.12,0.64,"29,280",0.44,"Adwords top, Sitelinks, Featured snippet, People also ask","0.67,0.67,0.67,0.67,0.67,0.82,0.82,0.82,1.00,1.00,0.82,0.82"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,rental car insurance,Commercial,0.31,0.24,0.14,"14,800","44,400",$7.64,0.9,1.11,0.84,"37,259",1.2,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Adwords bottom","0.67,0.82,0.82,1.00,1.00,1.00,1.00,0.82,0.82,0.67,0.82,0.82"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,title insurance,Commercial,0.29,0.21,0.11,"14,800","44,400",$3.74,0.77,1.34,0.82,"37,566",0.63,"Featured snippet, People also ask, Top stories, Thumbnails, Image pack","0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Other Types of Insurance,Gap Insurance,-,-,-,-,what is gap insurance,Informational,0.21,0.1,0.02,"12,100","36,300",$2.95,0.77,1.08,0.63,"19,018",0.48,"People also ask, Top stories, Thumbnails","0.67,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,best auto insurance,Commercial,0.28,0.21,0.11,"12,100","36,300",$39.41,0.58,1.19,0.63,"15,784",1.3,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnails, Adwords bottom","0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.67,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,-,-,-,-,best dental insurance,Commercial,0.31,0.23,0.13,"12,100","36,300",$4.58,0.89,1.28,0.83,"34,323",1.15,"Featured snippet, Thumbnails, People also ask","0.67,0.67,0.67,0.55,0.55,0.55,0.67,0.67,0.82,0.82,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,free car insurance quotes,Commercial,0.3,0.19,0.1,"12,100","36,300",$54.35,0.57,1.29,0.73,"19,485",0.95,"Adwords top, Sitelinks, People also ask, Adwords bottom","1.00,1.00,0.54,0.54,0.44,0.54,0.54,0.44,0.44,0.36,0.36,0.54"
Finance & Insurance Industry,Insurance Services,Insurance,Insurance - State Generalized,-,-,-,-,insurance agents near me,Commercial,0.35,0.26,0.17,"12,100","36,300",$17.68,0.9,1.2,0.72,"28,227",0.78,Sitelinks,"0.45,0.45,0.45,0.45,0.45,0.55,0.55,0.45,0.55,0.45,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,insurance company,Commercial,0.33,0.22,0.14,"12,100","36,300",$30.84,0.5,1.22,0.62,"13,729",0.46,"Sitelinks, People also ask, Image pack","1.00,1.00,1.00,1.00,0.81,1.00,1.00,0.81,0.81,0.63,0.81,0.81"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,insurance quotes online,Commercial,0.3,0.22,0.15,"12,100","36,300",$37.24,0.57,1.18,0.74,"18,067",0.93,"Adwords top, Sitelinks, People also ask, Adwords bottom","1.00,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.67,0.67,0.82"
Finance & Insurance Industry,Insurance Services,Other Types of Insurance,Mortgage Insurance,-,-,-,-,pmi insurance,Commercial,0.29,0.2,0.13,"12,100","36,300",$3.78,0.71,1.21,0.63,"19,647",0.57,"Featured snippet, People also ask, Sitelinks, Top stories, Thumbnails","0.82,0.67,1.00,1.00,0.82,0.55,1.00,1.00,0.82,0.55,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,short term health insurance,Commercial,0.33,0.24,0.15,"12,100","36,300",$13.73,0.77,1.26,0.54,"19,018",1.25,"Sitelinks, People also ask","0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.82,0.82,1.00,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,affordable car insurance,Commercial,0.31,0.25,0.16,"9,900","29,700",$36.97,0.5,1.2,0.84,"14,969",0.95,"Adwords top, People also ask, Sitelinks, Adwords bottom","1.00,1.00,0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,auto insurance quotes online,Commercial,0.34,0.29,0.2,"9,900","29,700",$62.58,0.49,1.18,0.82,"14,081",1.18,"Sitelinks, People also ask","1.00,1.00,0.81,1.00,0.67,0.81,0.81,0.81,0.67,0.67,0.67,0.67"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,best insurance companies,Commercial,0.34,0.25,0.17,"9,900","29,700",$20.80,0.6,1.07,0.82,"15,635",1.01,"People also ask, Sitelinks","0.67,0.82,0.82,0.82,0.67,1.00,1.00,0.82,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,best life insurance,Commercial,0.32,0.25,0.17,"9,900","29,700",$18.53,0.8,1.13,0.83,"22,285",0.97,"Featured snippet, Thumbnails, People also ask","0.82,0.82,0.67,0.55,0.55,0.55,0.67,0.67,0.67,0.67,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,best life insurance companies,Commercial,0.3,0.25,0.18,"9,900","29,700",$21.53,0.65,1.05,0.72,"14,595",1.16,"Adwords top, Sitelinks, People also ask, Image pack, Adwords bottom","0.55,0.82,1.00,1.00,0.82,1.00,1.00,1.00,1.00,0.82,0.82,1.00"
